,,,,,,flooding,,heat,,,grd_ele_43,,,dist,,
[,42.3534698,",",-71.0715437,],",",1,",",28.36957,83.065226,",",3.71376,12.1811328,",",0,",",0.120384615
[,42.3489662,",",-71.0885382,],",",1,",",30.93843,87.689174,",",5.45952,17.9072256,",",0.12,",",
[,42.3472852,",",-71.0876799,],",",1,",",32.75927,90.966686,",",7.82564,25.6680992,",",0.24,",",
[,42.3465556,",",-71.0904264,],",",1,",",30.77719,87.398942,",",5.78685,18.980868,",",0.36,",",
[,42.3471741,",",-71.0914564,],",",1,",",30.38334,86.690012,",",3.17285,10.406948,",",0.48,",",
[,42.3502824,",",-71.0916495,],",",1,",",30.12996,86.233928,",",3.60727,11.8318456,",",0.6,",",
[,42.3498542,",",-71.092937,],",",1,",",30.39927,86.718686,",",2.27298,7.4553744,",",0.72,",",
[,42.3484904,",",-71.0928297,],",",1,",",31.30337,88.346066,",",4.06945,13.347796,",",0.84,",",
[,42.3473803,",",-71.0922718,],",",1,",",29.3858,84.89444,",",8.23878,27.0231984,",",0.96,",",
[,42.3465398,",",-71.0930872,],",",1,",",28.48531,83.273558,",",5.61259,18.4092952,",",1.08,",",
[,42.3463812,",",-71.0928297,],",",1,",",27.79065,82.02317,",",4.95078,16.2385584,",",1.2,",",
[,42.3457627,",",-71.0935593,],",",1,",",27.29648,81.133664,",",2.66085,8.727588,",",1.32,",",
[,42.3455248,",",-71.0931945,],",",1,",",26.57292,79.831256,",",2.26382,7.4253296,",",1.44,",",
[,42.3451759,",",-71.0937309,],",",1,",",26.36621,79.459178,",",2.40998,7.9047344,",",1.56,",",
[,42.344827,",",-71.0934091,],",",1,",",25.49646,77.893628,",",1.43273,4.6993544,",",1.68,",",
[,42.3441609,",",-71.0935163,],",",1,",",25.66916,78.204488,",",1.04726,3.4350128,",",1.8,",",
[,42.3440974,",",-71.0944605,],",",1,",",27.32852,81.191336,",",0.76544,2.5106432,",",1.92,",",
[,42.3428762,",",-71.0945678,],",",1,",",28.50575,83.31035,",",2.55383,8.3765624,",",2.04,",",
[,42.3409889,",",-71.093967,],",",1,",",27.413,81.3434,",",1.16917,3.8348776,",",2.16,",",
[,42.3401959,",",-71.0961771,],",",1,",",28.66705,83.60069,",",0.69534,2.2807152,",",2.28,",",
[,42.3391332,",",-71.0970783,],",",1,",",28.54319,83.377742,",",1.46364,4.8007392,",",2.4,",",
[,42.3388953,",",-71.0978508,],",",1,",",28.35165,83.03297,",",0.79677,2.6134056,",",2.52,",",
[,42.3393394,",",-71.0989666,],",",1,",",28.7978,83.83604,",",1.60104,5.2514112,",",2.64,",",
[,42.3407192,",",-71.1008978,],",",1,",",29.34456,84.820208,",",2.68045,8.791876,",",2.76,",",
[,42.3425432,",",-71.1028719,],",",1,",",28.41299,83.143382,",",3.82096,12.5327488,",",2.88,",",
[,42.3434472,",",-71.1025929,],",",1,",",30.04767,86.085806,",",3.67566,12.0561648,",",3,",",
[,42.3454455,",",-71.1044168,],,1,,31.52724,88.749032,,8.5884,28.169952,,3.12,,
