"","lat","lon"
"1",42.3534698,-71.0715437
"2",42.3489662,-71.0885382
"3",42.3472852,-71.0876799
"4",42.3465556,-71.0904264
"5",42.3471741,-71.0914564
"6",42.3502824,-71.0916495
"7",42.3498542,-71.092937
"8",42.3484904,-71.0928297
"9",42.3473803,-71.0922718
"10",42.3465398,-71.0930872
"11",42.3463812,-71.0928297
"12",42.3457627,-71.0935593
"13",42.3455248,-71.0931945
"14",42.3451759,-71.0937309
"15",42.344827,-71.0934091
"16",42.3441609,-71.0935163
"17",42.3440974,-71.0944605
"18",42.3428762,-71.0945678
"19",42.3409889,-71.093967
"20",42.3401959,-71.0961771
"21",42.3391332,-71.0970783
"22",42.3388953,-71.0978508
"23",42.3393394,-71.0989666
"24",42.3407192,-71.1008978
"25",42.3425432,-71.1028719
"26",42.3434472,-71.1025929
"27",42.3454455,-71.1044168
