,lat,,lon,,,flooding,,yael_4326,,,grd_ele_43,,,dist,,
[,42.3472534,",",-71.0758352,],",",1,",",31.4956,88.69208,",",6.06641,19.90292058,",",0,",",0.382
[,42.3466191,",",-71.0771656,],",",1,",",31.09696,87.974528,",",4.20292,13.78910805,",",0.382,",",
[,42.3418295,",",-71.0829163,],",",1,",",32.60258,90.684644,",",6.1203,20.07972505,",",0.764,",",
[,42.3345651,",",-71.0915422,],",",1,",",31.54081,88.773458,",",7.17523,23.54078159,",",1.146,",",
[,42.3313926,",",-71.0953617,],",",1,",",30.48586,86.874548,",",9.07134,29.76161513,",",1.528,",",
[,42.3245712,",",-71.0989237,],",",1,",",30.37042,86.666756,",",12.02901,39.46525717,",",1.91,",",
[,42.3223184,",",-71.1000395,],",",1,",",29.97981,85.963658,",",11.03104,36.19107727,",",2.292,",",
[,42.316448,",",-71.1048889,],",",1,",",28.7217,83.69906,",",12.46242,40.88720603,",",2.674,",",
[,42.3104501,",",-71.1074638,],",",1,",",29.95161,85.912898,",",11.54792,37.88687785,",",3.056,",",
[,42.3024521,",",-71.1133432,],",",1,",",30.52996,86.953928,",",11.42794,37.49324267,",",3.438,",",
[,42.3007698,",",-71.1137295,],",",1,",",32.12001,89.816018,",",15.22555,49.95259346,",",3.82,",",
